indicator,indicator_description,indicator_source,demographic,demographic_description,time_description,time_period,value_description,value,term_description,upper_term,lower_term
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,1998-1999,Survival rate,0.58042,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2000-2001,Survival rate,0.600619,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2002-2003,Survival rate,0.607326,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2004-2005,Survival rate,0.618277,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2006-2007,Survival rate,0.615868,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2008-2009,Survival rate,0.627537,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2010-2011,Survival rate,0.632462,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2012-2013,Survival rate,0.64264,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2014-2015,Survival rate,0.640994,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2016-2017,Survival rate,0.655297,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2018-2019,Survival rate,0.671902,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,All cancers,Cancer type,Pair year,2020-2021,Survival rate,0.675845,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,1998-1999,Survival rate,0.585936,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2000-2001,Survival rate,0.609244,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2002-2003,Survival rate,0.614458,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2004-2005,Survival rate,0.604295,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2006-2007,Survival rate,0.605102,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2008-2009,Survival rate,0.616258,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2010-2011,Survival rate,0.638223,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2012-2013,Survival rate,0.629804,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2014-2015,Survival rate,0.639066,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2016-2017,Survival rate,0.65388,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2018-2019,Survival rate,0.676041,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Colorectal,Cancer type,Pair year,2020-2021,Survival rate,0.670999,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,1998-1999,Survival rate,0.075001,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2000-2001,Survival rate,0.095598,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2002-2003,Survival rate,0.113445,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2004-2005,Survival rate,0.089362,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2006-2007,Survival rate,0.099221,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2008-2009,Survival rate,0.103952,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2010-2011,Survival rate,0.085151,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2012-2013,Survival rate,0.090177,NA,NA,NA
